"State","District","Crop","Season","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Andaman And Nicobar Islands","Nicobars","Rice","Kharif","1260.00","2266.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Rice","Total","1260.00","2266.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Kharif","1260.00","2266.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Cereals","Total","1260.00","2266.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Kharif","1260.00","2266.00","735.00"
"Andaman And Nicobar Islands","Nicobars","Total Food Grains","Total","1260.00","2266.00","735.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Kharif","2110.00","2100.00","2062.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Rice","Total","2110.00","2100.00","2062.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Kharif","","3347.00",""
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Rabi","2260.00","","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Maize","Total","2260.00","3347.00","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Kharif","","3347.00",""
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Rabi","2260.00","","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Nutri/Coarse Cereals","Total","2260.00","3347.00","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Kharif","2110.00","2102.00","2062.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Rabi","2260.00","","3177.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Cereals","Total","2110.00","2102.00","2064.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Tur","Kharif","","810.00",""
"Andaman And Nicobar Islands","North And Middle Andaman","Tur","Rabi","300.00","",""
"Andaman And Nicobar Islands","North And Middle Andaman","Tur","Total","300.00","810.00",""
"Andaman And Nicobar Islands","North And Middle Andaman","Urad","Rabi","358.00","270.00","338.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Urad","Total","358.00","270.00","338.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Moong","Rabi","363.00","285.00","355.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Moong","Total","363.00","285.00","355.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Pulses","Total","359.00","276.00","347.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Kharif","2110.00","2102.00","2062.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Rabi","412.00","276.00","378.00"
"Andaman And Nicobar Islands","North And Middle Andaman","Total Food Grains","Total","1939.00","1835.00","1805.00"
"Andaman And Nicobar Islands","South Andamans","Rice","Kharif","2082.00","2168.00","1889.00"
"Andaman And Nicobar Islands","South Andamans","Rice","Total","2082.00","2168.00","1889.00"
"Andaman And Nicobar Islands","South Andamans","Maize","Kharif","","1401.00",""
"Andaman And Nicobar Islands","South Andamans","Maize","Rabi","","","387.00"
"Andaman And Nicobar Islands","South Andamans","Maize","Total","","1401.00","387.00"
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Kharif","","1401.00",""
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Rabi","","","387.00"
"Andaman And Nicobar Islands","South Andamans","Nutri/Coarse Cereals","Total","","1401.00","387.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Kharif","2082.00","1950.00","1889.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Rabi","","","387.00"
"Andaman And Nicobar Islands","South Andamans","Cereals","Total","2082.00","1950.00","1644.00"
"Andaman And Nicobar Islands","South Andamans","Urad","Rabi","492.00","385540.00",""
