State,District,Crop,Season,Year,Yield_Kg_Ha
Andaman And Nicobar Islands,Nicobars,Moong,Rabi,2016-17,400.0
Andaman And Nicobar Islands,Nicobars,Rice,Kharif,2016-17,1430.0
Andaman And Nicobar Islands,North And Middle Andaman,Maize,Rabi,2016-17,2360.0
Andaman And Nicobar Islands,North And Middle Andaman,Moong,Rabi,2016-17,291.0
Andaman And Nicobar Islands,North And Middle Andaman,Rice,Kharif,2016-17,2579.0
Andaman And Nicobar Islands,North And Middle Andaman,Tur,Rabi,2016-17,46.0
Andaman And Nicobar Islands,North And Middle Andaman,Urad,Rabi,2016-17,322.0
Andaman And Nicobar Islands,South Andamans,Maize,Rabi,2016-17,1843.0
Andaman And Nicobar Islands,South Andamans,Moong,Rabi,2016-17,188.0
Andaman And Nicobar Islands,South Andamans,Rice,Kharif,2016-17,2713.0
Andaman And Nicobar Islands,South Andamans,Urad,Rabi,2016-17,200.0
Andhra Pradesh,Ananthapuramu,Bajra,Kharif,2016-17,510.0
Andhra Pradesh,Ananthapuramu,Bajra,Rabi,2016-17,500.0
Andhra Pradesh,Ananthapuramu,Gram,Rabi,2016-17,259.0
Andhra Pradesh,Ananthapuramu,Jowar,Kharif,2016-17,201.0
Andhra Pradesh,Ananthapuramu,Jowar,Rabi,2016-17,113.0
Andhra Pradesh,Ananthapuramu,Maize,Kharif,2016-17,2063.0
Andhra Pradesh,Ananthapuramu,Maize,Rabi,2016-17,4533.0
Andhra Pradesh,Ananthapuramu,Moong,Kharif,2016-17,231.0
Andhra Pradesh,Ananthapuramu,Moong,Rabi,2016-17,400.0
Andhra Pradesh,Ananthapuramu,Ragi,Kharif,2016-17,2116.0
Andhra Pradesh,Ananthapuramu,Ragi,Rabi,2016-17,2094.0
Andhra Pradesh,Ananthapuramu,Rice,Kharif,2016-17,2454.0
Andhra Pradesh,Ananthapuramu,Rice,Rabi,2016-17,2711.0
Andhra Pradesh,Ananthapuramu,Shree Anna /Nutri Cereals,Kharif,2016-17,578.0
Andhra Pradesh,Ananthapuramu,Shree Anna /Nutri Cereals,Rabi,2016-17,742.0
Andhra Pradesh,Ananthapuramu,Small Millets,Kharif,2016-17,632.0
Andhra Pradesh,Ananthapuramu,Small Millets,Rabi,2016-17,667.0
Andhra Pradesh,Ananthapuramu,Tur,Kharif,2016-17,99.0
Andhra Pradesh,Ananthapuramu,Urad,Kharif,2016-17,1174.0
Andhra Pradesh,Ananthapuramu,Urad,Rabi,2016-17,1171.0
Andhra Pradesh,Chittoor,Bajra,Kharif,2016-17,2760.0
Andhra Pradesh,Chittoor,Bajra,Rabi,2016-17,2667.0
Andhra Pradesh,Chittoor,Gram,Rabi,2016-17,750.0
Andhra Pradesh,Chittoor,Jowar,Kharif,2016-17,316.0
Andhra Pradesh,Chittoor,Maize,Kharif,2016-17,3329.0
Andhra Pradesh,Chittoor,Maize,Rabi,2016-17,5311.0
Andhra Pradesh,Chittoor,Moong,Kharif,2016-17,632.0
Andhra Pradesh,Chittoor,Moong,Rabi,2016-17,412.0
Andhra Pradesh,Chittoor,Ragi,Kharif,2016-17,401.0
Andhra Pradesh,Chittoor,Ragi,Rabi,2016-17,1586.0
Andhra Pradesh,Chittoor,Rice,Kharif,2016-17,3428.0
Andhra Pradesh,Chittoor,Rice,Rabi,2016-17,3853.0
Andhra Pradesh,Chittoor,Shree Anna /Nutri Cereals,Kharif,2016-17,1182.0
Andhra Pradesh,Chittoor,Shree Anna /Nutri Cereals,Rabi,2016-17,1591.0
Andhra Pradesh,Chittoor,Small Millets,Kharif,2016-17,383.0
Andhra Pradesh,Chittoor,Tur,Kharif,2016-17,113.0
Andhra Pradesh,Chittoor,Urad,Kharif,2016-17,1174.0
Andhra Pradesh,Chittoor,Urad,Rabi,2016-17,566.0
Andhra Pradesh,East Godavari,Bajra,Kharif,2016-17,1103.0
Andhra Pradesh,East Godavari,Bajra,Rabi,2016-17,1000.0
Andhra Pradesh,East Godavari,Gram,Rabi,2016-17,1505.0
Andhra Pradesh,East Godavari,Jowar,Kharif,2016-17,1438.0
Andhra Pradesh,East Godavari,Jowar,Rabi,2016-17,701.0
Andhra Pradesh,East Godavari,Maize,Kharif,2016-17,4065.0
Andhra Pradesh,East Godavari,Maize,Rabi,2016-17,8775.0
Andhra Pradesh,East Godavari,Moong,Kharif,2016-17,1002.0
Andhra Pradesh,East Godavari,Moong,Rabi,2016-17,611.0
Andhra Pradesh,East Godavari,Ragi,Kharif,2016-17,1004.0
Andhra Pradesh,East Godavari,Rice,Kharif,2016-17,3345.0
Andhra Pradesh,East Godavari,Rice,Rabi,2016-17,5441.0
Andhra Pradesh,East Godavari,Shree Anna /Nutri Cereals,Kharif,2016-17,950.0
Andhra Pradesh,East Godavari,Shree Anna /Nutri Cereals,Rabi,2016-17,702.0
Andhra Pradesh,East Godavari,Small Millets,Kharif,2016-17,409.0
Andhra Pradesh,East Godavari,Tur,Kharif,2016-17,305.0
Andhra Pradesh,East Godavari,Tur,Rabi,2016-17,305.0
Andhra Pradesh,East Godavari,Urad,Kharif,2016-17,909.0
Andhra Pradesh,East Godavari,Urad,Rabi,2016-17,654.0
Andhra Pradesh,Guntur,Bajra,Kharif,2016-17,571.0
Andhra Pradesh,Guntur,Gram,Rabi,2016-17,1962.0
Andhra Pradesh,Guntur,Jowar,Kharif,2016-17,1444.0
Andhra Pradesh,Guntur,Jowar,Rabi,2016-17,5971.0
Andhra Pradesh,Guntur,Maize,Kharif,2016-17,4066.0
Andhra Pradesh,Guntur,Maize,Rabi,2016-17,8932.0
Andhra Pradesh,Guntur,Moong,Kharif,2016-17,166.0
