State,District,Crop,Season,Yield-2016-17,Yield-2017-18,Yield-2018-19,Yield-2019-20,Yield-2020-21,Yield-2021-22,Yield-2022-23,Yield-2023-24,Yield-2024-25
Andaman And Nicobar Islands,Nicobars,Maize,Rabi,,,,,,1133.0,,,
Andaman And Nicobar Islands,Nicobars,Moong,Rabi,400.0,,,,3090.0,,,,
Andaman And Nicobar Islands,Nicobars,Rice,Kharif,1430.0,530.0,1466.0,1387.0,,,1260.0,2266.0,735.0
Andaman And Nicobar Islands,Nicobars,Urad,Rabi,,,,,2445.0,,,,
Andaman And Nicobar Islands,North And Middle Andaman,Maize,Kharif,,,,,,,,3347.0,
Andaman And Nicobar Islands,North And Middle Andaman,Maize,Rabi,2360.0,574.0,2164.0,2866.0,2925.0,3001.0,2260.0,,3177.0
Andaman And Nicobar Islands,North And Middle Andaman,Moong,Rabi,291.0,311.0,210.0,598.0,406.0,327.0,363.0,285.0,355.0
Andaman And Nicobar Islands,North And Middle Andaman,Rice,Kharif,2579.0,2104.0,2117.0,3156.0,,,2110.0,2100.0,2062.0
Andaman And Nicobar Islands,North And Middle Andaman,Tur,Kharif,,,,,,,,810.0,
Andaman And Nicobar Islands,North And Middle Andaman,Tur,Rabi,46.0,500.0,,,95.0,185.0,300.0,,
Andaman And Nicobar Islands,North And Middle Andaman,Urad,Rabi,322.0,291.0,161.0,536.0,393.0,300.0,358.0,270.0,338.0
Andaman And Nicobar Islands,South Andamans,Maize,Kharif,,,,,,,,1401.0,
Andaman And Nicobar Islands,South Andamans,Maize,Rabi,1843.0,1538.0,1114.0,2481.0,1305.0,1695.0,,,387.0
Andaman And Nicobar Islands,South Andamans,Moong,Rabi,188.0,600.0,,531.0,260.0,260.0,600.0,105588.0,
Andaman And Nicobar Islands,South Andamans,Rice,Kharif,2713.0,2087.0,2306.0,3040.0,,,2082.0,2168.0,1889.0
Andaman And Nicobar Islands,South Andamans,Urad,Rabi,200.0,1048.0,,20.0,7.0,7.0,492.0,385540.0,
Andhra Pradesh,Alluri Sitharama Raju,Bajra,Kharif,,,,,,,2303.0,2029.0,2551.0
Andhra Pradesh,Alluri Sitharama Raju,Jowar,Kharif,,,,,,,1143.0,1416.0,437.0
Andhra Pradesh,Alluri Sitharama Raju,Jowar,Rabi,,,,,,,649.0,5370.0,6690.0
Andhra Pradesh,Alluri Sitharama Raju,Maize,Kharif,,,,,,,3123.0,3438.0,2535.0
Andhra Pradesh,Alluri Sitharama Raju,Maize,Rabi,,,,,,,4486.0,7397.0,6125.0
Andhra Pradesh,Alluri Sitharama Raju,Moong,Kharif,,,,,,,568.0,901.0,451.0
Andhra Pradesh,Alluri Sitharama Raju,Moong,Rabi,,,,,,,760.0,797.0,965.0
Andhra Pradesh,Alluri Sitharama Raju,Ragi,Kharif,,,,,,,1030.0,1269.0,1317.0
Andhra Pradesh,Alluri Sitharama Raju,Rice,Kharif,,,,,,,2987.0,1762.0,3155.0
Andhra Pradesh,Alluri Sitharama Raju,Rice,Rabi,,,,,,,2999.0,3180.0,2917.0
Andhra Pradesh,Alluri Sitharama Raju,Shree Anna /Nutri Cereals,Kharif,,,,,,,970.0,1194.0,1182.0
Andhra Pradesh,Alluri Sitharama Raju,Shree Anna /Nutri Cereals,Rabi,,,,,,,649.0,5370.0,6690.0
Andhra Pradesh,Alluri Sitharama Raju,Small Millets,Kharif,,,,,,,501.0,542.0,485.0
Andhra Pradesh,Alluri Sitharama Raju,Tur,Kharif,,,,,,,266.0,308.0,402.0
Andhra Pradesh,Alluri Sitharama Raju,Tur,Rabi,,,,,,,250.0,,
Andhra Pradesh,Alluri Sitharama Raju,Urad,Kharif,,,,,,,703.0,435.0,876.0
Andhra Pradesh,Alluri Sitharama Raju,Urad,Rabi,,,,,,,878.0,885.0,916.0
Andhra Pradesh,Anakapalli,Bajra,Kharif,,,,,,,1210.0,855.0,1101.0
Andhra Pradesh,Anakapalli,Gram,Rabi,,,,,,,2000.0,1556.0,
Andhra Pradesh,Anakapalli,Jowar,Rabi,,,,,,,7000.0,,
Andhra Pradesh,Anakapalli,Maize,Kharif,,,,,,,4176.0,4695.0,4586.0
Andhra Pradesh,Anakapalli,Maize,Rabi,,,,,,,9750.0,8811.0,8619.0
Andhra Pradesh,Anakapalli,Moong,Kharif,,,,,,,641.0,616.0,451.0
Andhra Pradesh,Anakapalli,Moong,Rabi,,,,,,,517.0,634.0,624.0
Andhra Pradesh,Anakapalli,Ragi,Kharif,,,,,,,1000.0,1317.0,1881.0
Andhra Pradesh,Anakapalli,Ragi,Rabi,,,,,,,1444.0,,
Andhra Pradesh,Anakapalli,Rice,Kharif,,,,,,,3143.0,2589.0,3164.0
Andhra Pradesh,Anakapalli,Rice,Rabi,,,,,,,2955.0,2986.0,3126.0
Andhra Pradesh,Anakapalli,Shree Anna /Nutri Cereals,Kharif,,,,,,,1209.0,879.0,1131.0
Andhra Pradesh,Anakapalli,Shree Anna /Nutri Cereals,Rabi,,,,,,,1737.0,,
Andhra Pradesh,Anakapalli,Small Millets,Kharif,,,,,,,,1407.0,
Andhra Pradesh,Anakapalli,Tur,Kharif,,,,,,,222.0,606.0,735.0
Andhra Pradesh,Anakapalli,Urad,Kharif,,,,,,,1082.0,1200.0,990.0
Andhra Pradesh,Anakapalli,Urad,Rabi,,,,,,,547.0,721.0,692.0
Andhra Pradesh,Ananthapuramu,Bajra,Kharif,510.0,1337.0,1157.0,1531.0,1414.0,753.0,811.0,828.0,1340.0
Andhra Pradesh,Ananthapuramu,Bajra,Rabi,500.0,1333.0,1154.0,1517.0,1415.0,750.0,1733.0,,
Andhra Pradesh,Ananthapuramu,Bajra,Summer,,,,,,,,,2215.0
Andhra Pradesh,Ananthapuramu,Gram,Kharif,,,,,,250.0,1000.0,,
Andhra Pradesh,Ananthapuramu,Gram,Rabi,259.0,680.0,248.0,767.0,433.0,239.0,1154.0,492.0,555.0
Andhra Pradesh,Ananthapuramu,Jowar,Kharif,201.0,533.0,84.0,584.0,636.0,430.0,538.0,573.0,255.0
Andhra Pradesh,Ananthapuramu,Jowar,Rabi,113.0,439.0,133.0,891.0,406.0,649.0,1560.0,836.0,1101.0
Andhra Pradesh,Ananthapuramu,Maize,Kharif,2063.0,3766.0,2837.0,2794.0,3840.0,1670.0,3890.0,4745.0,5006.0
Andhra Pradesh,Ananthapuramu,Maize,Rabi,4533.0,4704.0,2958.0,4812.0,5109.0,5295.0,8365.0,6615.0,5655.0
Andhra Pradesh,Ananthapuramu,Moong,Kharif,231.0,218.0,86.0,226.0,197.0,111.0,405.0,180.0,309.0
Andhra Pradesh,Ananthapuramu,Moong,Rabi,400.0,946.0,627.0,977.0,242.0,251.0,379.0,237.0,411.0
Andhra Pradesh,Ananthapuramu,Ragi,Kharif,2116.0,2336.0,1986.0,1863.0,1689.0,618.0,1125.0,1027.0,1339.0
Andhra Pradesh,Ananthapuramu,Ragi,Rabi,2094.0,2588.0,2483.0,2456.0,2197.0,2803.0,3056.0,,
Andhra Pradesh,Ananthapuramu,Rice,Kharif,2454.0,2508.0,2674.0,3610.0,2724.0,2081.0,3693.0,3577.0,3431.0
Andhra Pradesh,Ananthapuramu,Rice,Rabi,2711.0,2982.0,2496.0,3135.0,3143.0,2601.0,4429.0,2956.0,2789.0
Andhra Pradesh,Ananthapuramu,Shree Anna /Nutri Cereals,Kharif,578.0,860.0,384.0,697.0,1162.0,457.0,614.0,650.0,902.0
Andhra Pradesh,Ananthapuramu,Shree Anna /Nutri Cereals,Rabi,742.0,770.0,692.0,1129.0,676.0,1107.0,1568.0,836.0,1101.0
Andhra Pradesh,Ananthapuramu,Shree Anna /Nutri Cereals,Summer,,,,,,,,,2215.0
Andhra Pradesh,Ananthapuramu,Small Millets,Kharif,632.0,1202.0,219.0,450.0,559.0,180.0,507.0,568.0,899.0
Andhra Pradesh,Ananthapuramu,Small Millets,Rabi,667.0,1333.0,146.0,364.0,710.0,835.0,1554.0,,
Andhra Pradesh,Ananthapuramu,Tur,Kharif,99.0,194.0,57.0,201.0,73.0,26.0,291.0,166.0,155.0
Andhra Pradesh,Ananthapuramu,Tur,Rabi,,,,205.0,83.0,,308.0,,
Andhra Pradesh,Ananthapuramu,Urad,Kharif,1174.0,799.0,919.0,214.0,187.0,1024.0,739.0,816.0,771.0
Andhra Pradesh,Ananthapuramu,Urad,Rabi,1171.0,1333.0,1042.0,1306.0,1344.0,1464.0,1386.0,873.0,512.0
Andhra Pradesh,Ananthapuramu,Wheat,Rabi,,750.0,,300.0,1524.0,929.0,1000.0,,
Andhra Pradesh,Annamayya,Bajra,Kharif,,,,,,,1761.0,2118.0,2215.0
Andhra Pradesh,Annamayya,Bajra,Rabi,,,,,,,2000.0,,
Andhra Pradesh,Annamayya,Gram,Rabi,,,,,,,1500.0,706.0,879.0
Andhra Pradesh,Annamayya,Jowar,Kharif,,,,,,,933.0,1416.0,437.0
Andhra Pradesh,Annamayya,Jowar,Rabi,,,,,,,2353.0,2338.0,2108.0
Andhra Pradesh,Annamayya,Maize,Kharif,,,,,,,5897.0,5481.0,6375.0
Andhra Pradesh,Annamayya,Maize,Rabi,,,,,,,6343.0,6358.0,7891.0
Andhra Pradesh,Annamayya,Moong,Kharif,,,,,,,394.0,358.0,457.0
Andhra Pradesh,Annamayya,Moong,Rabi,,,,,,,936.0,568.0,668.0
Andhra Pradesh,Annamayya,Ragi,Kharif,,,,,,,1540.0,2774.0,2336.0
Andhra Pradesh,Annamayya,Ragi,Rabi,,,,,,,3059.0,,
Andhra Pradesh,Annamayya,Rice,Kharif,,,,,,,3254.0,3502.0,3681.0
Andhra Pradesh,Annamayya,Rice,Rabi,,,,,,,3393.0,3287.0,3487.0
Andhra Pradesh,Annamayya,Shree Anna /Nutri Cereals,Kharif,,,,,,,1632.0,2401.0,2179.0
Andhra Pradesh,Annamayya,Shree Anna /Nutri Cereals,Rabi,,,,,,,2792.0,2338.0,2108.0
Andhra Pradesh,Annamayya,Small Millets,Kharif,,,,,,,529.0,621.0,640.0
Andhra Pradesh,Annamayya,Small Millets,Rabi,,,,,,,2000.0,,
Andhra Pradesh,Annamayya,Tur,Kharif,,,,,,,298.0,188.0,268.0
Andhra Pradesh,Annamayya,Tur,Rabi,,,,,,,400.0,,
Andhra Pradesh,Annamayya,Urad,Kharif,,,,,,,730.0,816.0,771.0
Andhra Pradesh,Annamayya,Urad,Rabi,,,,,,,1388.0,873.0,865.0
Andhra Pradesh,Bapatla,Bajra,Kharif,,,,,,,2311.0,2029.0,2551.0
Andhra Pradesh,Bapatla,Gram,Rabi,,,,,,,2412.0,1662.0,1917.0
Andhra Pradesh,Bapatla,Jowar,Kharif,,,,,,,1125.0,1416.0,437.0
Andhra Pradesh,Bapatla,Jowar,Rabi,,,,,,,8293.0,6036.0,6919.0
Andhra Pradesh,Bapatla,Maize,Kharif,,,,,,,4913.0,4495.0,5253.0
Andhra Pradesh,Bapatla,Maize,Rabi,,,,,,,11620.0,8732.0,8733.0
Andhra Pradesh,Bapatla,Moong,Kharif,,,,,,,576.0,901.0,451.0
Andhra Pradesh,Bapatla,Moong,Rabi,,,,,,,1419.0,1340.0,1349.0
Andhra Pradesh,Bapatla,Ragi,Kharif,,,,,,,,,1995.0
Andhra Pradesh,Bapatla,Ragi,Rabi,,,,,,,917.0,,
Andhra Pradesh,Bapatla,Rice,Kharif,,,,,,,4145.0,3466.0,3651.0
Andhra Pradesh,Bapatla,Rice,Rabi,,,,,,,4316.0,3160.0,3745.0
Andhra Pradesh,Bapatla,Shree Anna /Nutri Cereals,Kharif,,,,,,,2132.0,1891.0,2200.0
Andhra Pradesh,Bapatla,Shree Anna /Nutri Cereals,Rabi,,,,,,,8139.0,6036.0,6919.0
Andhra Pradesh,Bapatla,Small Millets,Kharif,,,,,,,,,1811.0
Andhra Pradesh,Bapatla,Small Millets,Rabi,,,,,,,1750.0,,
Andhra Pradesh,Bapatla,Tur,Kharif,,,,,,,332.0,816.0,953.0
Andhra Pradesh,Bapatla,Tur,Rabi,,,,,,,351.0,,
Andhra Pradesh,Bapatla,Urad,Kharif,,,,,,,698.0,1195.0,397.0
Andhra Pradesh,Bapatla,Urad,Rabi,,,,,,,1601.0,1317.0,1445.0
Andhra Pradesh,Chittoor,Bajra,Kharif,2760.0,2286.0,2163.0,3701.0,2762.0,2449.0,2611.0,2118.0,2215.0
Andhra Pradesh,Chittoor,Bajra,Rabi,2667.0,,2000.0,4000.0,2750.0,,,,
Andhra Pradesh,Chittoor,Gram,Kharif,,,,,,,,,
Andhra Pradesh,Chittoor,Gram,Rabi,750.0,,,,,750.0,1333.0,706.0,
Andhra Pradesh,Chittoor,Jowar,Kharif,316.0,1550.0,129.0,0.0,1260.0,754.0,927.0,1416.0,437.0
